Ulasan,Rating
"ya,bagus",4
mohon bantuannya saya tidak bisa mengubah nama pengguna,2
tolong lah X (sebelumnya Twiter) akun saya tidak pernah upload yang melanggar dan tdk ada komentar yg melanggar juga lalu tiba tiba kena suspend atau di tangguhkan,3
update selalu 🫰🏻,5
"sangat menyebalkan, hampir setiap membuka apk X selalu dipinta verifikasi email.",1
mantap,5
kenapa x sekarang tidak bisa login lewat apk? sering muncul error waktu mau login. tolong diperbaiki karena semua akun akun saya tidak bisa login apknya!!!!!!,1
batiba sign out dan susah banget alias ga bisa sign in lagi. bikin emosi. Menyebalkan.,1
bagus,5
oke,5
terus tingkat kan kwalitas nya 👍,5
"aplikasi aneh dan baperan, tidak pernah upload apapun sudah 2 akun saya kena Suspend/ditangguhkan. Mencoba banding malah ditolak. tolong lha x diperbaiki hal2 Seperti ini.",1
sangat bagus,5
jariangan bagus tidak ada batasan,5
jelek,1
payah,1
mantaaapp,5
X bagi saya sangat membantu untuk mendapat berita terkini di seluruh dunia,5
"parahhh, akun tidak ada apa"" bisa""nya di tangguhkan",1
Good Apls.,5
seruuuu,5
aplikasi nya tidak bisa di buka.,1
gajelas aturan nya apa.. gatau salah nya apa tiba² di tangguhkan permanen,1
apk nya jelek.. mau login Sush ngebug terus,1
👍👍👍👍👍,5
Gajelas,5
"Saya tidak bisa login, tolong tangani segera",1
mau loh in ke akun sendri saja aplikasinya ngga berjalan dengan baik,1
"apk sosmed tersampah ,dari dulu masalah sepele susah login tidak pernah diperbaiki,kalo login selalu kesalahan teknis, mending Twitter dih skrng jadi X Makin sampah.",1
pliss lah jngan tiba2 akun anda di tangguhkan,1
Keren,1
goood,5
tiba-tiba akunku kena suspend. gak bisa loh in lagi hufftt...,1
sangat mudah,5
huh android 8 ga bisa download,1
bintang 1 karena mau lihat posting masak di batasin harus berlangganan dulu masak astaga,1
sudah daftar akun tapi gak bisa login..bolak balik terus gak bisa login auto uninstall,1
dJosss,5
buka bukan tante sexi,5
kenapa ga bisa login nih hadehh,2
"Ini aplikasi gimana sih? Aku masuk (baru pertama kali login) tapi gak bisa selalu muncul ""Ada kesalahan teknis, harap login kembali"" terus aja gitu",1
sagat jelek aplikasi tolol,1
ok,5
delay mulu kalo dm di X,1
gak bisa login gak bisa buat akun baru👎,1
KESEL BANGET MAU GANTI USERNAME SUSAHNYA MINTA AMPUN PEPEK,1
"Akun premium pun bisa dibanned. Uda kirim laporan, tapi tidak ada tanggapan. Tolong kembalikan uang saya. Saya rugi beli akun premium tapi dibanned",1
sering error dan loading lama padahal jaringan lancar,1
kenapa setelah update app jadi tidak bisa login akun? mohon diperbaiki.,1
kenapa pesan nya tidak terlihat jadinya jika ada pesan tidak terbaca,2
ribet,1
"aplikasi gajelas, gabisa log in terus.. dikit"" ada bacaan ""tidak dapat mengambil postingan ini"" gajls",1
"aplikasi jelek, saya masih bingung tentang akun saya yg terkunci karena usia, pdhl usia saya sudah 13 tahun ke atas, tapi menurut saya, masih kurang, tolong apakah bisa memulihkan akun yg terkunci dan merubah akun/umur nya, karena akun saya terkunci",1
"aplikasi tidak aman, tidak pernah komen tdk pernah teruskan dan tidak pernah upload tiba2 di tangguhkan dan di minta berlangganan ..apk burik",1
aplikasinya makin jelek semenjak ganti pemilik 👎🏻👎🏻👎🏻,1
"saya sangat kecewa dengan aplikasi ini karna akun sya di tangguhkan padahal saya tidak melakukan pelanggaran di dalam aplikasi ini, tapi akun saya tetap di tangguhkan dan tidak bisa di ajukan banding",1
The application is no longer compatible with my cellphone... I am very sad 😭,1
"aplikasi nya aga buruk dan kurang, kadang suka ada adegan yang ga bagus buat di tonton tolong perbaiki lagi",2
the worst ever,1
gak tau apa baru download beberapa hari udah ditangguhkan aja,2
sering log out sendiri,1
"tidak bisa login, dan bikin akun.",1
my account banned for no reason,1
kenapa akun saya d tangguhkan,5
Saya rasa ini aplikasi sudah tidak bisa digunakan. Setiap buka akun mau bikin akun baru selalu di kunci ending nya juga pasti di Suspen ga jelas! ApK Dajjal,1
Banyak hal yg aneh2 di dalam x ini jadi tolong untuk menghapus yg aneh2 itu ya,1
"SALAH APAA AKUN SAYA KENA AJUKAN BANDING AJAA MIN TOLONG DI REPORT DAN KEMBALIKAN AKUN YA, KALO SUDAH SAYA KASIH BINTANG 5",1
Singkat Padat Informatif,5
haha sebelum twitter update baru ganti,5
keren,5
"Kenapa saat saya membaca sebuah cerita, postingannya malah sering terpotong?",3
"parah,, akun tiba tiba out, & susah login kembali,,, ,,,,",1
cool man,5
joss gandosss,5
tidak bermanfaat bagi saya,1
ga jelas tiba-tiba ditangguhkan,1
berita ys sanv bru bsru,5
"padahal gk buat kesalahan apapun, tapi kenapa akun saya di tangguhkan...?? aneh betul lah aplikasi ni",1
bebas menyampaikan pendapat dan berbagi wacana,5
Aplikasi ini bagus tapi kadang suka keluar sendiri terblokir sendiri gak tau kenapa jadi aku harus buat akun lagi tapi bagus kok aplikasi nya,5
tiba tiba akun ditangguhkan,1
aplikasi hacker no.1 yang membuat memory card micro Sd jadi rusak. jika bisa kasih bintang -5🌟 uninstall. Terimakasih atas perusakan nya.,1
tbtb gaisa log in akunku hiksss,3
"makin kesini makin ga jelas,baperan dikit2 di tangguhkan di banned apalah ga jelas tod",1
APK bhabhi akun gak kenapa-kenapa di tangguhkan,1
kurang menarik,2
saya suka,5
sngt buurukkkkk,1
Sulit untuk login,1
"aplikasi busuk, sering lag, padahal sinyal bagus",1
mntap,5
top Markotop,5
please filter your app because there so many scam and phising,1
sangat menarik untuk tambah pengalaman da pengetahuan terimakasih,5
susah buat ganti username nya,3
"Saya baru install ini aplikasi, pas login ke akun saya tidak bisa karena alasan aktivitas mencurigakan? What the? aku hanya ingin login ke akun ku kenapa itu salah dan dianggap mencurigakan, dan yang lebih konyol lagi akun ku di suspended padahal tidak melakukan apa apa, komen nge repost pun ngga pernah, aku rasa tingkat keamanan pada X ini bukan membuat nyaman malah bikin sangat tidak nyaman dam mengganggu",1
gak ngerti lagi deh dengan aplikasi ini entah berapa tahun akun ku ditangguhkan dan sampai sekarang gak bisa dibenerin,1
"awalnya pakai Twitter digunakan tidak lama kemudian akun saya di tangguhkan tidak bisa pake sma sekali.ujung""ny saya delete install kembali tapi yang sama persis Twitter X tapi tetap sama jg di tangguhkan akun saya sampai sekarang belum pulih kembali.tidak jelas!semoga lebih baik lagi.",2
error terus,1
Cobain baru tau itu rasa,5
"Twitter menurut ku bagus bagus aja, suka aja sama Twitter, selain bagus,mudah digunakan.",5
goodd,5
login eror mulu ajig,1
"apk gak guna mending unistal apk dari playstor aja X percuma di instal tapi dikit2 maen baneed ,,apk baperannn",1
Dikit dikit suspend padahal akun murni bukan bot dan nggak main spam.,1
apasih kocak ganti nama username susah amat padahal sesuai ketentuan gajelas lu Twitter,1
"apl tidak bisa di,downlod",1
Apl yang sangat menghibur diwktu senggang..!!! tapi saya lagi kesel... tiba-tiba akun X saya ditangguhkan,5
akses b*k*p termantap di sini gacor,5
saya sangat puas,5
"i cant login to my account, and my account always suspend very bad app👎",1
good,5
"aplikasi jelek, sistem x jelek, beda dengan Twitter yang lama, akun ku di suspend tanpa alasan yang jelas, dan sudah beberapa bulan tidak ditanggapi oleh help center nya",1
"gak jelas ,akun ku d banned,ntah apa masalah nya",1
"jelek, pengen masuk pake akun lama, tapi gabisa",1
selalu dalam keadaan teknis?,1
jelek gak guna gak bisa login,1
Oke,5
"gbs login, tulisannya login denied terus padahal dlu2 aman aja. udh dicoba hapus chache dll ttp aj gbs, jelek bgt sih",1
"kenapa ya padahal saya gak melakukan apa apa tiba tiba di suruh banding trus tiba tiba ke band tiba tiba lagi akun saya hilang jadinya saya kasi bint 2 deh , mohon maaf tolong diperbaiki lagi sistemnya",2
"Semenjak ganti nama x jadi baperan jirr gk ngelakuin apa "" tiba² akun di tangguhkan tah apa masalahnya",1
"HAHH?? AKUN TIBA-TIBA DITANGGUHKAN MAKSUDNYA APAAA WOYY, PADAHAL AKUN CUMAN 1 DI X JARANG JG GONTA-GANTI/SERING LOGOUT/IN",1
sangat membantu dalam mencari informasi,5
