Nama User,Ulasan,Rating,Tanggal,Likes,Versi App
Pengguna Google,"ya,bagus",4,2025-12-29 17:15:50,1,11.49.1-release.0
Pengguna Google,mohon bantuannya saya tidak bisa mengubah nama pengguna,2,2025-12-28 10:09:53,0,
Pengguna Google,tolong lah X (sebelumnya Twiter) akun saya tidak pernah upload yang melanggar dan tdk ada komentar yg melanggar juga lalu tiba tiba kena suspend atau di tangguhkan,3,2025-12-28 06:20:14,3,
Pengguna Google,update selalu 🫰🏻,5,2025-12-27 02:20:28,0,11.49.1-release.0
Pengguna Google,"sangat menyebalkan, hampir setiap membuka apk X selalu dipinta verifikasi email.",1,2025-12-24 01:45:32,2,
Pengguna Google,mantap,5,2025-12-24 01:45:12,0,11.49.1-release.0
Pengguna Google,kenapa x sekarang tidak bisa login lewat apk? sering muncul error waktu mau login. tolong diperbaiki karena semua akun akun saya tidak bisa login apknya!!!!!!,1,2025-12-24 01:29:15,5,
Pengguna Google,batiba sign out dan susah banget alias ga bisa sign in lagi. bikin emosi. Menyebalkan.,1,2025-12-24 01:12:52,4,11.49.1-release.0
Pengguna Google,bagus,5,2025-12-24 00:44:41,0,11.47.0-release.0
Pengguna Google,oke,5,2025-12-24 00:41:13,0,11.49.1-release.0
Pengguna Google,bagus,5,2025-12-24 00:24:26,0,11.49.1-release.0
Pengguna Google,terus tingkat kan kwalitas nya 👍,5,2025-12-24 00:04:26,0,11.49.1-release.0
Pengguna Google,bagus,5,2025-12-23 23:26:46,0,
Pengguna Google,"aplikasi aneh dan baperan, tidak pernah upload apapun sudah 2 akun saya kena Suspend/ditangguhkan. Mencoba banding malah ditolak. tolong lha x diperbaiki hal2 Seperti ini.",1,2025-12-23 22:12:43,40,11.49.1-release.0
Pengguna Google,sangat bagus,5,2025-12-23 19:01:38,0,11.49.1-release.0
Pengguna Google,jariangan bagus tidak ada batasan,5,2025-12-23 18:51:08,0,
Pengguna Google,jelek,1,2025-12-23 18:30:35,2,
Pengguna Google,payah,1,2025-12-23 18:15:15,1,11.49.1-release.0
Pengguna Google,bagus,5,2025-12-23 18:10:49,0,11.49.1-release.0
Pengguna Google,mantaaapp,5,2025-12-23 18:10:08,0,11.49.1-release.0
Pengguna Google,X bagi saya sangat membantu untuk mendapat berita terkini di seluruh dunia,5,2025-12-23 17:38:50,0,11.49.1-release.0
